연번,센터유형,센터명,운영기관,시설명,우편번호,주소,X,Y,사무실전화번호
1,중앙/권역,코로나19 중앙 예방접종센터,국립중앙의료원,국립중앙의료원 D동,4562,서울특별시 중구 을지로 39길 29,127.004501,37.567817,02-2260-7114
2,중앙/권역,코로나19 중부권역 예방접종센터,순천향대 천안병원,천안시 실내배드민턴장 1층,31212,충청남도 천안시 동남구 천안대로 357,127.164717,36.779887,
3,중앙/권역,코로나19 호남권역 예방접종센터,조선대병원,조선대학교병원 의성관 5층,61452,광주광역시 동구 필문대로 365,126.925563,35.139465,062-220-3739
4,중앙/권역,코로나19 영남권역 예방접종센터,양산 부산대병원,양산 부산대병원 기숙사동 1층,50612,경상남도 양산시 물금읍 금오로 20,129.009337,35.3239,055-360-6701
5,지역,코로나19 대구광역시 중구 예방접종센터,,계명대학교 대구동산병원 별관,41931,대구시 중구 달성로 56,128.583716,35.869985,053-661-3955
6,지역,코로나19 서울특별시 성동구 예방접종센터,,성동구청 대강당(3층),4750,서울특별시 성동구 고산자로 270,127.036981,37.563457,02-2286-5084
7,지역,코로나19 부산광역시 부산진구 예방접종센터,,부산시민공원 시민사랑채,47197,부산 부산진구 시민공원로 73,129.059301,35.170182,051-605-8633
8,지역,코로나19 인천광역시 연수구 예방접종센터,,선학경기장 선학체육관,21908,인천광역시 연수구 경원대로 526,126.703271,37.429571,032-749-8121
9,지역,코로나19 광주광역시 서구 예방접종센터,,염주종합체육관,62048,광주광역시 서구 금화로 278,126.878966,35.135398,062-350-4157
10,지역,코로나19 대전광역시 유성구 예방접종센터,,유성종합스포츠센터,34128,대전광역시 유성구 유성대로 978,127.344399,36.378512,042-611-2498
11,지역,코로나19 울산광역시 중구 예방접종센터,,동천체육관,44497,울산시 중구 염포로 85,129.350436,35.562451,052-290-4941
12,지역,코로나19 세종특별자치시 예방접종센터,,남세종종합청소년센터,30099,세종특별자치시 달빛1로 227,127.245248,36.519427,044-301-2868
13,지역,코로나19 경기도 수원시 예방접종센터,,아주대 실내체육관,16499,경기도 수원시 영통구 월드컵로 206,127.045439,37.279932,031-228-3737
14,지역,코로나19 경기도 고양시 일산동구 예방접종센터,,고양꽃전시관,10400,경기도 고양시 일산동구 호수로 595,126.768889,37.653775,031-8075-4830
15,지역,코로나19 강원도 원주시 예방접종센터,,치악체육관,26447,강원도 원주시 서원대로 279,127.940763,37.338561,033-737-4012
16,지역,코로나19 충청북도 청주시 예방접종센터,,상당구청 스포츠센터,28806,충청북도 청주시 상당구 남일면 단재로 466,127.505123,36.589755,043-201-4394
17,지역,코로나19 충청남도 천안시 서북구 예방접종센터,,천안시 실내테니스장,31157,충남 천안시 서북구 번영로 208,127.112761,36.817161,041-521-3013
18,지역,코로나19 전라북도 전주시 예방접종센터,,화산체육관,54984,전주시 완산구 백제대로 310,127.124525,35.821042,063-281-6621
19,지역,코로나19 전라남도 목포시 예방접종센터,,목포실내체육관,58608,전남 목포시 대양로 286,126.406585,34.825289,063-270-8939
20,지역,코로나19 경상북도 포항시 남구 예방접종센터,,포항종합운동장 실내체육관,37832,경북 포항시 남구 희망대로 810,129.360825,36.008538,054-270-4959
21,지역,코로나19 경상남도 창원시 마산구 예방접종센터,,마산체육관,51323,경남 창원시 마산회원구 삼호로 63,128.579527,35.222011,055-225-7671
22,지역,코로나19 제주특별자치도 제주시 예방접종센터,,한라체육관,63189,제주시 서광로2길 24,126.515526,33.497436,064-728-4028
23,지역,코로나19 서울특별시 중랑구 예방접종센터,,중랑문화체육관,2261,서울특별시 중랑구 사가정로72길47,127.0957285,37.5793205,02-2094-0275
24,지역,코로나19 서울특별시 성북구 예방접종센터,,성북아트홀(구청4층),2848,서울특별시 성북구 보문로 168,127.016749,37.5894,02-2241-4305
25,지역,코로나19 서울특별시 노원구 예방접종센터,,노원구민체육센터,1741,서울특별시 노원구 노원로22길 1,127.0707093,37.6481759,02-2116-3084
26,지역,코로나19 서울특별시 은평구 예방접종센터,,은평문화 예술회관,3381,서울특별시 은평구 녹번로 16,126.9279226,37.6037201,02-351-6187
27,지역,코로나19 서울특별시 동작구 예방접종센터,,사당종합체육관,6989,서울특별시 동작구 사당로27길 232,126.9697426,37.4928063,02-820-1965
28,지역,코로나19 서울특별시 송파구 예방접종센터,,송파구 체육문화회관,5771,서울특별시 송파구 양산로15,127.1428442,37.4907262,02-2147-2131
29,지역,코로나19 부산광역시 남구 예방접종센터,,남구국민체육센터,48563,부산광역시 남구 백운포로 110,129.1080682,35.1038048,051-607-3725
30,지역,코로나19 인천광역시 서구 예방접종센터,,인천아시아드주경기장,22717,인천광역시 서구 봉수대로 806,126.6666173,37.5476153,032-560-5053
31,지역,코로나19 광주광역시 남구 예방접종센터,,남구다목적체육관,61711,광주광역시 남구 화산로 110,126.9087287,35.1141618,062-607-4336
32,지역,코로나19 울산광역시 남구 예방접종센터,,남구국민체육센터,44766,울산광역시 남구 여천로 38,129.3379882,35.5228599,052-226-2399
33,지역,코로나19 경기도 성남시 분당구 예방접종센터,,탄천종합운동장 체육회관 이벤트홀,13495,경기도 성남시 분당구 탄천로 215,127.1197616,37.4094673,031-729-8582
34,지역,코로나19 경기도 안양시 동안구 예방접종센터,,안양종합운동장 보조경기장,13918,경기도 안양시 동안구 평촌대로 389,126.9483443,37.404422,031-8045-4843
35,지역,코로나19 경기도 남양주시 예방접종센터,,남양주 체육문화센터,12244,경기도 남양주시 다산 지금로 91,127.1767155,37.6053844,031-590-2598
36,지역,코로나19 강원도 강릉시 예방접종센터,,강릉실내롤러스케이트장,25474,강원도 강릉시 종합운동장길 72-25,128.8929531,37.7725668,033-660-2401
37,지역,코로나19 강원도 춘천시 예방접종센터,,봄내체육관,24243,강원도 춘천시 평화로 25,127.7185339,37.8813604,033-245-5970
38,지역,코로나19 강원도 삼척시 예방접종센터,,삼척체육관,25909,강원도 삼척시 교동 243-13,129.1720754,37.4564581,033-570-4669
39,지역,코로나19 충청북도 충주시 예방접종센터,,충주체육관,27371,충청북도 충주시 예성로 266,127.9365796,36.9816923,043-850-0002
40,지역,코로나19 충청북도 음성군 예방접종센터,,음성실내체육관,27704,충청북도 음성군 설성로 47,127.6843934,36.93073537,043-871-4392
41,지역,코로나19 충청남도 아산시 예방접종센터,,이순신종합운동장 복합스포츠센터,31528,충청남도 아산시 남부로 370-24,127.0220209,36.7702519,041-537-3413
42,지역,코로나19 충청남도 논산시 예방접종센터,,시민운동장,32993,충청남도 논산시 체육로 110,127.104313,36.19520481,041-746-8032
43,지역,코로나19 전라북도 군산시 예방접종센터,,월명종합경기장 월명체육관,54078,전라북도 군산시 번영로 281,126.7460261,35.9627736,063-460-0024
44,지역,코로나19 전라북도 정읍시 예방접종센터,,정읍실내체육관,56158,전라북도 정읍시 서부로 9,126.8442138,35.5695705,063-539-6103
45,지역,코로나19 전라북도 남원시 예방접종센터,,춘향골 체육관,55766,전라북도 남원시 충정로 341,127.4021114,35.4305186,063-620-7939
46,지역,코로나19 전라남도 여수시 예방접종센터,,흥국체육관,59676,전라남도 여수시 선소로 93,127.6679095,34.7610227,061-659-4269
47,지역,코로나19 전라남도 순천시 예방접종센터,,순천대학교 국제문화컨벤션관,57922,전라남도 순천시 중앙로 235,127.4840561,34.9668203,061-749-3588
48,지역,코로나19 경상남도 진주시 예방접종센터,,진주종합실내체육관(초전동),52733,경상남도 진주시 남강로 1655,128.1252806,35.2079236,055-749-6616
49,지역,코로나19 경상남도 통영시 예방접종센터,,충무체육관,53047,경상남도 통영시 북문2길 34,128.4289365,34.8510954,055-650-6053
50,지역,코로나19 서울특별시 중구 예방접종센터 ,,충무스포츠센터,4569,서울특별시 중구퇴계로 387,127.014916,37.566055,02-3396-4503
51,지역,코로나19 부산광역시 금정구  예방접종센터 ,,금정문화회관 생활문화관,46251,부산광역시 금정구 체육공원로 7,129.093772,35.245876,051-519-5798
52,지역,코로나19 부산광역시 북구  예방접종센터 ,,북구문화예술회관,46547,부산광역시 북구 금곡대로 46번길 50,129.0054594,35.21348039,051-309-7023
53,지역,코로나19 인천광역시 부평구 예방접종센터 ,,삼산월드체육관,21343,인천광역시 부평구 체육관로 60,126.7378965,37.5077049,032-509-8251
54,지역,코로나19 대구광역시 동구 예방접종센터 ,,아양아트센터,41179,대구광역시 동구 효동로2길 24,128.6522348,35.8794015,053-662-3236
55,지역,코로나19 대구광역시 달서구 예방접종센터 ,,성서산업단지 다목적체육관,42718,대구광역시 달서구 성서공단로22길 25,128.4953904,35.83288863,053-667-2225
56,지역,코로나19 울산광역시 북구 예방접종센터 ,,오토밸리복지센터,44248,울산광역시 북구 산업로 1020,129.3604209,35.584287,052-241-8241
57,지역,코로나19 경기도 안산시 단원구 예방접종센터 ,,올림픽기념관 체육관,15335,경기 안산시 단원구 적금로202,126.8274303,37.3263283,031-369-1702
58,지역,코로나19 경기도 용인시 처인구 예방접종센터 ,,용인미르스타디움,16997,경기 용인시 처인구 동백죽전대로 61,127.1651803,37.2498203,031-324-2716
59,지역,코로나19 경기도 화성시 예방접종센터 ,,동탄나래울 종합사회복지관,18427,경기 화성시 여울로2길 33,127.0511977,37.20527199,031-5189-6936
60,지역,코로나19 경기도 시흥시 예방접종센터 ,,정왕평생학습관,15055,경기 시흥시 정왕대로 233번길 21,126.7405209,37.34788392,031-310-5851
61,지역,코로나19 충청남도 서산시 예방접종센터 ,,서산시민체육관,31963,충남 서산시 안견로 661,126.4362312,36.7977904,041-661-8245
62,지역,코로나19 전라남도 광양시 예방접종센터 ,,광양실내체육관,57728,전남 광양시 광양읍 매천로 695-20,127.575275,34.9828346,061-797-3789
63,지역,코로나19 전라남도 구례군 예방접종센터 ,,구례실내체육관,57635,전남 구례군 구례읍 서시천로 76-11,127.468087,35.215724,061-780-2012
64,지역,코로나19 전라남도 해남군 예방접종센터 ,,건강누리센터,59038,전남 해남군 해남로 46,126.6120737,34.57056458,061-531-3752
65,지역,코로나19 전라남도 영광군 예방접종센터 ,,영광스포티움 실내보조체육관,57035,전남 영광군 영광읍 월현로 170,126.4958382,35.2884948,061-350-5562
66,지역,코로나19 경상북도 포항시 북구 예방접종센터 ,,양덕한마음체육관,37598,경북 포항시 북구 새천년대로1460,129.4066286,36.0778995,054-270-4132
67,지역,코로나19 경상북도 안동시 예방접종센터 ,,안동체육관 실내보조경기장,36709,경북 안동시 육사로 205,128.7281196,36.5598062,054-840-5950
68,지역,코로나19 경상북도 영천시 예방접종센터 ,,영천 생활체육관,38839,경북 영천시 운동장로 55,128.923695,35.967746,054-339-7781
69,지역,코로나19 경상북도 고령군 예방접종센터 ,,주산체육관,40136,경북 고령군 대가야읍 주산순환길 91,128.2628,35.729026,054-950-7950
70,지역,코로나19 경상북도 칠곡군 예방접종센터 ,,교육문화회관 사회교육관,39872,경북 칠곡군 왜관읍 관문로 1길 32,128.4171652,35.9919529,054-979-8255
71,지역,코로나19 서울특별시 구로구 예방접종센터,,구로구민회관,8301,서울특별시 구로구 가마산로25길 21,126.8894459,37.4970218,02-860-3304 
72,지역,코로나19 서울특별시 용산구 예방접종센터,,용산구 종합행정타운 전시실,4390,서울특별시 용산구 녹사평대로 150,126.99049,37.532527,02-2199-8200
73,지역,코로나19 서울특별시 광진구 예방접종센터,,자양체육관,5110,서울특별시 광진구 뚝섬로52길 66,127.078078,37.52906092,02-450-7102
74,지역,코로나19 서울특별시 강북구 예방접종센터,,강북구 문화예술회관,1036,서울특별시 강북구 삼각산로 85,127.0133421,37.6408544,02-901-6328
75,지역,코로나19 서울특별시 도봉구 예방접종센터,,창동문화체육센터,1412,서울특별시 도봉구 노해로69길 132,127.0507056,37.6581175,02-2091-2102
76,지역,코로나19 서울특별시 양천구 예방접종센터,,해누리타운,8094,서울특별시 양천구 목동동로 81,126.8637671,37.5160346,02-2620-3058
77,지역,코로나19 서울특별시 강서구 예방접종센터,,(舊) 염강초등학교,7531,서울특별시 강서구 허준로 221-22(가양동),126.8640385,37.561253,02-2600-6119
78,지역,코로나19 서울특별시 금천구 예방접종센터,,금나래문화체육센터,8608,서울특별시 금천구 독산동 1148,126.8961165,37.4589429,02-2627-2692
79,지역,코로나19 서울특별시 영등포구 예방접종센터,,영등포 아트홀,7258,서울특별시 영등포구 국회대로 596,126.9002927,37.5259976,02-2670-3316
80,지역,코로나19 서울특별시 관악구 예방접종센터,,관악구민종합체육센터,8799,서울특별시 관악구 낙성대로3길 37,126.9603185,37.4730839,02-879-5154
81,지역,코로나19 서울특별시 강동구 예방접종센터,,강동구민회관,5314,서울특별시 강동구 상암로 168,127.1412375,37.5457344,02-3425-5093
82,지역,코로나19 서울특별시 서초구 예방접종센터,,서초문화예술회관,6749,서울특별시 서초구 강남대로 201,127.03598,37.4818405,02-2155-6142
83,지역,코로나19 서울특별시 종로구 예방접종센터,,종로구민회관,3104,서울특별시 종로구 지봉로5길 7-5,127.0144451,37.573459,02-2148-1312
84,지역,코로나19 서울특별시 동대문구 예방접종센터,,동대문구체육관,2609,서울특별시 동대문구 답십리로 210-3,127.0640118,37.5723256,02-2127-4025
85,지역,코로나19 서울특별시 서대문구 예방접종센터,,북아현문화체육센터,3770,서울특별시 서대문구 북아현로 51,126.9554383,37.5618398,02-330-1065
