날짜,친환경,날짜,제로웨이스트
2020-01-19,3.58126,2020-01-19,18.858
2020-01-20,6.4613,2020-01-20,13.22314
2020-01-21,6.83696,2020-01-21,12.22138
2020-01-22,5.53468,2020-01-22,11.52016
2020-01-23,4.93363,2020-01-23,8.18933
2020-01-24,2.0035,2020-01-24,6.61157
2020-01-25,1.62784,2020-01-25,5.96043
2020-01-26,1.92837,2020-01-26,6.6867
2020-01-27,2.98021,2020-01-27,8.11419
2020-01-28,5.93538,2020-01-28,9.41647
2020-01-29,7.21262,2020-01-29,9.14099
2020-01-30,7.43801,2020-01-30,8.13924
2020-01-31,5.33433,2020-01-31,9.54169
2020-02-01,2.77986,2020-02-01,11.29476
2020-02-02,3.10543,2020-02-02,9.96744
2020-02-03,6.33608,2020-02-03,12.29651
2020-02-04,7.18757,2020-02-04,9.59178
2020-02-05,7.76358,2020-02-05,9.91735
2020-02-06,7.41297,2020-02-06,8.76533
2020-02-07,6.6867,2020-02-07,6.71174
2020-02-08,2.72977,2020-02-08,10.1177
2020-02-09,3.73153,2020-02-09,10.89406
2020-02-10,7.73854,2020-02-10,12.37165
2020-02-11,7.78863,2020-02-11,10.54345
2020-02-12,6.98722,2020-02-12,11.04432
2020-02-13,7.83871,2020-02-13,9.86726
2020-02-14,5.63486,2020-02-14,8.53994
2020-02-15,2.88004,2020-02-15,9.59178
2020-02-16,3.48109,2020-02-16,9.54169
2020-02-17,7.11244,2020-02-17,9.86726
2020-02-18,7.0874,2020-02-18,10.09266
2020-02-19,7.4881,2020-02-19,9.66691
2020-02-20,7.56323,2020-02-20,7.81367
2020-02-21,6.78687,2020-02-21,11.19459
2020-02-22,2.85499,2020-02-22,9.36639
2020-02-23,3.10543,2020-02-23,9.89231
2020-02-24,5.40946,2020-02-24,11.09441
2020-02-25,6.81192,2020-02-25,9.51665
2020-02-26,6.286,2020-02-26,11.9459
2020-02-27,5.88529,2020-02-27,9.84222
2020-02-28,5.40946,2020-02-28,7.2627
2020-02-29,2.77986,2020-02-29,14.5755
2020-03-01,2.72977,2020-03-01,13.3734
2020-03-02,5.73503,2020-03-02,15.80265
2020-03-03,6.76183,2020-03-03,11.24467
2020-03-04,7.16253,2020-03-04,14.67568
2020-03-05,7.43801,2020-03-05,16.85449
2020-03-06,6.21086,2020-03-06,11.99599
2020-03-07,3.53117,2020-03-07,11.5452
2020-03-08,3.40596,2020-03-08,11.67042
2020-03-09,6.73678,2020-03-09,12.32156
2020-03-10,6.6867,2020-03-10,11.24467
2020-03-11,8.16428,2020-03-11,11.47007
2020-03-12,7.18757,2020-03-12,11.97094
2020-03-13,7.13749,2020-03-13,17.38041
2020-03-14,3.93188,2020-03-14,11.39494
2020-03-15,3.73153,2020-03-15,12.84748
2020-03-16,7.73854,2020-03-16,12.24643
2020-03-17,9.24117,2020-03-17,10.59353
2020-03-18,8.99073,2020-03-18,12.12121
2020-03-19,9.11595,2020-03-19,14.09967
2020-03-20,8.36463,2020-03-20,11.16954
2020-03-21,4.08214,2020-03-21,12.7473
2020-03-22,5.28424,2020-03-22,12.94765
2020-03-23,8.26446,2020-03-23,11.74555
